id,name,postcode,address,rating,reviewCount,category,lat,lng,bezirkId,bezirkName,hasDefamationNotice,removedMin,removedMax,removedEstimate,deletionRatioPct,realRatingAdjusted,removedText,url,readAt,placeState,status,error
0x47bc59fad5c163d5:0x9baff563dae9f853,#Paparazzi,35390,,,,,50.5830766,8.6800576,,,false,,,,,,,https://www.google.com/maps/place/%23Paparazzi/data=!4m7!3m6!1s0x47bc59fad5c163d5:0x9baff563dae9f853!8m2!3d50.5830766!4d8.6800576!16s%2Fg%2F11jkmpgr98!19sChIJ1WPB1fpZvEcRU_jp2mP1r5s?authuser=0&hl=de&rclk=1,2026-05-05T18:48:25Z,,error,context canceled; overview error: context canceled
0x47bc58e880fdb0b9:0xc68a27d794878c19,Abraham Kiosk & Café,35390,,,,,50.5828941,8.6677393,,,false,,,,,,,https://www.google.com/maps/place/Abraham+Kiosk+%26+Caf%C3%A9/data=!4m7!3m6!1s0x47bc58e880fdb0b9:0xc68a27d794878c19!8m2!3d50.5828941!4d8.6677393!16s%2Fg%2F11rj63mb2v!19sChIJubD9gOhYvEcRGYyHlNcnisY?authuser=0&hl=de&rclk=1,2026-05-05T18:51:27Z,,error,context canceled; overview error: context canceled
0x47bc59470f80c321:0x46bc4bece836aa3c,Abu Karmo,35390,,,,,50.5857755,8.6730058,,,false,,,,,,,https://www.google.com/maps/place/Abu+Karmo/data=!4m7!3m6!1s0x47bc59470f80c321:0x46bc4bece836aa3c!8m2!3d50.5857755!4d8.6730058!16s%2Fg%2F11rx8xghpc!19sChIJIcOAD0dZvEcRPKo26OxLvEY?authuser=0&hl=de&rclk=1,2026-05-05T18:50:17Z,,error,context canceled; overview error: context canceled
0x47bc59679cb25667:0x14613a97180ec855,Au Lac Restaurant & Eventlocation Gießen,35390,,4.7,751,Restaurant,50.5921311,8.6710196,,,true,201,250,225.5,23.09,3.846,201 bis 250 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Au+Lac+Restaurant+%26+Eventlocation+Gie%C3%9Fen/data=!4m7!3m6!1s0x47bc59679cb25667:0x14613a97180ec855!8m2!3d50.5921311!4d8.6710196!16s%2Fg%2F11fyzb5x8x!19sChIJZ1aynGdZvEcRVcgOGJc6YRQ?authuser=0&hl=de&rclk=1,2026-05-05T18:23:19Z,active,success,
0x47bc590041433095:0x96ef1b0f45e6f87d,Bahn Cafe Gießen,35390,,,,,50.5789622,8.6623381,,,false,,,,,,,https://www.google.com/maps/place/Bahn+Cafe+Gie%C3%9Fen/data=!4m7!3m6!1s0x47bc590041433095:0x96ef1b0f45e6f87d!8m2!3d50.5789622!4d8.6623381!16s%2Fg%2F11wvcq2mgj!19sChIJlTBDQQBZvEcRffjmRQ8b75Y?authuser=0&hl=de&rclk=1,2026-05-05T18:48:29Z,,error,context canceled; overview error: context canceled
0x47bc590fc50a086b:0x1b9d969f521bb067,Balkan Grill Giessen,35390,,4.3,96,Restaurant,50.594561,8.709308,,,true,6,10,8,7.69,4.046,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Balkan+Grill+Giessen/data=!4m7!3m6!1s0x47bc590fc50a086b:0x1b9d969f521bb067!8m2!3d50.594561!4d8.709308!16s%2Fg%2F11jt268kpw!19sChIJawgKxQ9ZvEcRZ7AbUp-WnRs?authuser=0&hl=de&rclk=1,2026-05-05T18:23:09Z,active,success,
0x47bc58c1d6e10957:0x46fb8d1784c5af88,Basilico Ristorante & Bar - Gießen,35390,,4.4,1985,Restaurant,50.5851258,8.6774136,,,true,11,20,15.5,0.77,4.374,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Basilico+Ristorante+%26+Bar+-+Gie%C3%9Fen/data=!4m7!3m6!1s0x47bc58c1d6e10957:0x46fb8d1784c5af88!8m2!3d50.5851258!4d8.6774136!16s%2Fg%2F11fzwd6013!19sChIJVwnh1sFYvEcRiK_FhBeN-0Y?authuser=0&hl=de&rclk=1,2026-05-05T18:23:34Z,active,success,
0x47bc596341a8d35d:0x65de052c5424a076,Blue Nile Gießen,35390,,4.9,457,Restaurant,50.5833063,8.6682499,,,false,,,,,,,https://www.google.com/maps/place/Blue+Nile+Gie%C3%9Fen/data=!4m7!3m6!1s0x47bc596341a8d35d:0x65de052c5424a076!8m2!3d50.5833063!4d8.6682499!16s%2Fg%2F11f5v9hxdc!19sChIJXdOoQWNZvEcRdqAkVCwF3mU?authuser=0&hl=de&rclk=1,2026-05-05T18:45:23Z,active,success,
0x47bc58ea98f22f7d:0x3cd82279d800b629,Bolero Gießen,35390,,,,,50.5841582,8.6793379,,,false,,,,,,,https://www.google.com/maps/place/Bolero+Gie%C3%9Fen/data=!4m7!3m6!1s0x47bc58ea98f22f7d:0x3cd82279d800b629!8m2!3d50.5841582!4d8.6793379!16s%2Fg%2F12hn3q1fj!19sChIJfS_ymOpYvEcRKbYA2Hki2Dw?authuser=0&hl=de&rclk=1,2026-05-05T18:48:57Z,,error,context canceled; overview error: context canceled
0x47bc58c34cbb5d09:0x242dd04e9d79c4ab,Bootshaus Gießen,35390,,4.3,1953,Restaurant,50.589897,8.669664,,,false,,,,,,,https://www.google.com/maps/place/Bootshaus+Gie%C3%9Fen/data=!4m7!3m6!1s0x47bc58c34cbb5d09:0x242dd04e9d79c4ab!8m2!3d50.589897!4d8.669664!16s%2Fg%2F1tyyw6wy!19sChIJCV27TMNYvEcRq8R5nU7QLSQ?authuser=0&hl=de&rclk=1,2026-05-05T18:23:39Z,active,success,
